Date,SettlementPoint,Price,Month,Year
2016-01-01 00:00:00,LZ_RAYBN,18.43,1,2016
2016-01-01 01:00:00,LZ_RAYBN,16.17,1,2016
2016-01-01 02:00:00,LZ_RAYBN,15.64,1,2016
2016-01-01 03:00:00,LZ_RAYBN,15.65,1,2016
2016-01-01 04:00:00,LZ_RAYBN,15.97,1,2016
2016-01-01 05:00:00,LZ_RAYBN,16.74,1,2016
2016-01-01 06:00:00,LZ_RAYBN,18.98,1,2016
2016-01-01 07:00:00,LZ_RAYBN,19.19,1,2016
2016-01-01 08:00:00,LZ_RAYBN,19.11,1,2016
2016-01-01 09:00:00,LZ_RAYBN,19.69,1,2016
2016-01-01 10:00:00,LZ_RAYBN,20.61,1,2016
2016-01-01 11:00:00,LZ_RAYBN,20.60,1,2016
2016-01-01 12:00:00,LZ_RAYBN,20.32,1,2016
2016-01-01 13:00:00,LZ_RAYBN,20.06,1,2016
2016-01-01 14:00:00,LZ_RAYBN,19.10,1,2016
2016-01-01 15:00:00,LZ_RAYBN,19.35,1,2016
2016-01-01 16:00:00,LZ_RAYBN,20.05,1,2016
2016-01-01 17:00:00,LZ_RAYBN,24.93,1,2016
2016-01-01 18:00:00,LZ_RAYBN,26.23,1,2016
2016-01-01 19:00:00,LZ_RAYBN,23.24,1,2016
2016-01-01 20:00:00,LZ_RAYBN,22.79,1,2016
2016-01-01 21:00:00,LZ_RAYBN,21.37,1,2016
2016-01-01 22:00:00,LZ_RAYBN,20.33,1,2016
2016-01-01 23:00:00,LZ_RAYBN,19.66,1,2016
2016-01-02 00:00:00,LZ_RAYBN,19.00,1,2016
2016-01-02 01:00:00,LZ_RAYBN,17.95,1,2016
2016-01-02 02:00:00,LZ_RAYBN,17.17,1,2016
2016-01-02 03:00:00,LZ_RAYBN,17.01,1,2016
2016-01-02 04:00:00,LZ_RAYBN,17.91,1,2016
2016-01-02 05:00:00,LZ_RAYBN,17.66,1,2016
2016-01-02 06:00:00,LZ_RAYBN,20.10,1,2016
2016-01-02 07:00:00,LZ_RAYBN,21.33,1,2016
2016-01-02 08:00:00,LZ_RAYBN,23.43,1,2016
2016-01-02 09:00:00,LZ_RAYBN,24.91,1,2016
2016-01-02 10:00:00,LZ_RAYBN,23.40,1,2016
2016-01-02 11:00:00,LZ_RAYBN,21.81,1,2016
2016-01-02 12:00:00,LZ_RAYBN,20.78,1,2016
2016-01-02 13:00:00,LZ_RAYBN,19.68,1,2016
2016-01-02 14:00:00,LZ_RAYBN,18.29,1,2016
2016-01-02 15:00:00,LZ_RAYBN,17.95,1,2016
2016-01-02 16:00:00,LZ_RAYBN,19.34,1,2016
2016-01-02 17:00:00,LZ_RAYBN,23.49,1,2016
2016-01-02 18:00:00,LZ_RAYBN,23.48,1,2016
2016-01-02 19:00:00,LZ_RAYBN,21.72,1,2016
2016-01-02 20:00:00,LZ_RAYBN,20.73,1,2016
2016-01-02 21:00:00,LZ_RAYBN,19.97,1,2016
2016-01-02 22:00:00,LZ_RAYBN,19.87,1,2016
2016-01-02 23:00:00,LZ_RAYBN,18.43,1,2016
2016-01-03 00:00:00,LZ_RAYBN,17.44,1,2016
2016-01-03 01:00:00,LZ_RAYBN,16.46,1,2016
2016-01-03 02:00:00,LZ_RAYBN,16.18,1,2016
2016-01-03 03:00:00,LZ_RAYBN,16.36,1,2016
2016-01-03 04:00:00,LZ_RAYBN,17.01,1,2016
2016-01-03 05:00:00,LZ_RAYBN,17.70,1,2016
2016-01-03 06:00:00,LZ_RAYBN,19.28,1,2016
2016-01-03 07:00:00,LZ_RAYBN,20.04,1,2016
2016-01-03 08:00:00,LZ_RAYBN,20.17,1,2016
2016-01-03 09:00:00,LZ_RAYBN,20.22,1,2016
2016-01-03 10:00:00,LZ_RAYBN,19.85,1,2016
2016-01-03 11:00:00,LZ_RAYBN,18.66,1,2016
2016-01-03 12:00:00,LZ_RAYBN,17.14,1,2016
2016-01-03 13:00:00,LZ_RAYBN,16.33,1,2016
2016-01-03 14:00:00,LZ_RAYBN,16.04,1,2016
2016-01-03 15:00:00,LZ_RAYBN,15.97,1,2016
2016-01-03 16:00:00,LZ_RAYBN,16.98,1,2016
2016-01-03 17:00:00,LZ_RAYBN,21.27,1,2016
2016-01-03 18:00:00,LZ_RAYBN,21.89,1,2016
2016-01-03 19:00:00,LZ_RAYBN,20.89,1,2016
2016-01-03 20:00:00,LZ_RAYBN,20.25,1,2016
2016-01-03 21:00:00,LZ_RAYBN,19.69,1,2016
2016-01-03 22:00:00,LZ_RAYBN,18.78,1,2016
2016-01-03 23:00:00,LZ_RAYBN,18.15,1,2016
2016-01-04 00:00:00,LZ_RAYBN,17.01,1,2016
2016-01-04 01:00:00,LZ_RAYBN,17.08,1,2016
2016-01-04 02:00:00,LZ_RAYBN,17.47,1,2016
2016-01-04 03:00:00,LZ_RAYBN,18.00,1,2016
2016-01-04 04:00:00,LZ_RAYBN,19.34,1,2016
2016-01-04 05:00:00,LZ_RAYBN,21.77,1,2016
2016-01-04 06:00:00,LZ_RAYBN,53.90,1,2016
2016-01-04 07:00:00,LZ_RAYBN,35.96,1,2016
2016-01-04 08:00:00,LZ_RAYBN,24.55,1,2016
2016-01-04 09:00:00,LZ_RAYBN,23.88,1,2016
2016-01-04 10:00:00,LZ_RAYBN,21.86,1,2016
2016-01-04 11:00:00,LZ_RAYBN,20.26,1,2016
2016-01-04 12:00:00,LZ_RAYBN,19.03,1,2016
2016-01-04 13:00:00,LZ_RAYBN,17.50,1,2016
2016-01-04 14:00:00,LZ_RAYBN,16.43,1,2016
2016-01-04 15:00:00,LZ_RAYBN,16.51,1,2016
2016-01-04 16:00:00,LZ_RAYBN,17.43,1,2016
2016-01-04 17:00:00,LZ_RAYBN,23.05,1,2016
2016-01-04 18:00:00,LZ_RAYBN,27.47,1,2016
2016-01-04 19:00:00,LZ_RAYBN,22.96,1,2016
2016-01-04 20:00:00,LZ_RAYBN,22.67,1,2016
2016-01-04 21:00:00,LZ_RAYBN,21.57,1,2016
2016-01-04 22:00:00,LZ_RAYBN,20.39,1,2016
2016-01-04 23:00:00,LZ_RAYBN,18.73,1,2016
2016-01-05 00:00:00,LZ_RAYBN,15.89,1,2016
2016-01-05 01:00:00,LZ_RAYBN,15.88,1,2016
2016-01-05 02:00:00,LZ_RAYBN,16.00,1,2016
2016-01-05 03:00:00,LZ_RAYBN,16.50,1,2016
2016-01-05 04:00:00,LZ_RAYBN,18.00,1,2016
2016-01-05 05:00:00,LZ_RAYBN,21.23,1,2016
2016-01-05 06:00:00,LZ_RAYBN,49.08,1,2016
2016-01-05 07:00:00,LZ_RAYBN,30.06,1,2016
2016-01-05 08:00:00,LZ_RAYBN,23.11,1,2016
2016-01-05 09:00:00,LZ_RAYBN,22.76,1,2016
2016-01-05 10:00:00,LZ_RAYBN,21.51,1,2016
2016-01-05 11:00:00,LZ_RAYBN,20.60,1,2016
2016-01-05 12:00:00,LZ_RAYBN,19.74,1,2016
2016-01-05 13:00:00,LZ_RAYBN,19.07,1,2016
2016-01-05 14:00:00,LZ_RAYBN,18.01,1,2016
2016-01-05 15:00:00,LZ_RAYBN,17.63,1,2016
2016-01-05 16:00:00,LZ_RAYBN,18.49,1,2016
2016-01-05 17:00:00,LZ_RAYBN,22.69,1,2016
2016-01-05 18:00:00,LZ_RAYBN,22.79,1,2016
2016-01-05 19:00:00,LZ_RAYBN,21.99,1,2016
2016-01-05 20:00:00,LZ_RAYBN,21.01,1,2016
2016-01-05 21:00:00,LZ_RAYBN,19.64,1,2016
2016-01-05 22:00:00,LZ_RAYBN,18.61,1,2016
2016-01-05 23:00:00,LZ_RAYBN,17.11,1,2016
2016-01-06 00:00:00,LZ_RAYBN,12.60,1,2016
2016-01-06 01:00:00,LZ_RAYBN,10.69,1,2016
2016-01-06 02:00:00,LZ_RAYBN,10.28,1,2016
2016-01-06 03:00:00,LZ_RAYBN,11.67,1,2016
2016-01-06 04:00:00,LZ_RAYBN,13.68,1,2016
2016-01-06 05:00:00,LZ_RAYBN,17.35,1,2016
2016-01-06 06:00:00,LZ_RAYBN,23.41,1,2016
2016-01-06 07:00:00,LZ_RAYBN,21.77,1,2016
2016-01-06 08:00:00,LZ_RAYBN,20.50,1,2016
2016-01-06 09:00:00,LZ_RAYBN,20.44,1,2016
2016-01-06 10:00:00,LZ_RAYBN,20.83,1,2016
2016-01-06 11:00:00,LZ_RAYBN,19.70,1,2016
2016-01-06 12:00:00,LZ_RAYBN,18.66,1,2016
2016-01-06 13:00:00,LZ_RAYBN,18.86,1,2016
2016-01-06 14:00:00,LZ_RAYBN,18.48,1,2016
2016-01-06 15:00:00,LZ_RAYBN,17.66,1,2016
2016-01-06 16:00:00,LZ_RAYBN,18.43,1,2016
2016-01-06 17:00:00,LZ_RAYBN,24.96,1,2016
2016-01-06 18:00:00,LZ_RAYBN,24.23,1,2016
2016-01-06 19:00:00,LZ_RAYBN,21.39,1,2016
2016-01-06 20:00:00,LZ_RAYBN,19.98,1,2016
2016-01-06 21:00:00,LZ_RAYBN,18.64,1,2016
2016-01-06 22:00:00,LZ_RAYBN,16.82,1,2016
2016-01-06 23:00:00,LZ_RAYBN,15.64,1,2016
2016-01-07 00:00:00,LZ_RAYBN,14.43,1,2016
2016-01-07 01:00:00,LZ_RAYBN,11.11,1,2016
2016-01-07 02:00:00,LZ_RAYBN,10.67,1,2016
2016-01-07 03:00:00,LZ_RAYBN,11.00,1,2016
2016-01-07 04:00:00,LZ_RAYBN,12.74,1,2016
2016-01-07 05:00:00,LZ_RAYBN,14.96,1,2016
2016-01-07 06:00:00,LZ_RAYBN,21.41,1,2016
2016-01-07 07:00:00,LZ_RAYBN,21.50,1,2016
2016-01-07 08:00:00,LZ_RAYBN,19.92,1,2016
2016-01-07 09:00:00,LZ_RAYBN,19.63,1,2016
2016-01-07 10:00:00,LZ_RAYBN,19.81,1,2016
2016-01-07 11:00:00,LZ_RAYBN,16.79,1,2016
2016-01-07 12:00:00,LZ_RAYBN,16.56,1,2016
2016-01-07 13:00:00,LZ_RAYBN,16.31,1,2016
2016-01-07 14:00:00,LZ_RAYBN,15.65,1,2016
2016-01-07 15:00:00,LZ_RAYBN,15.66,1,2016
2016-01-07 16:00:00,LZ_RAYBN,16.19,1,2016
2016-01-07 17:00:00,LZ_RAYBN,22.92,1,2016
2016-01-07 18:00:00,LZ_RAYBN,22.17,1,2016
2016-01-07 19:00:00,LZ_RAYBN,20.78,1,2016
2016-01-07 20:00:00,LZ_RAYBN,19.71,1,2016
2016-01-07 21:00:00,LZ_RAYBN,17.94,1,2016
2016-01-07 22:00:00,LZ_RAYBN,15.85,1,2016
2016-01-07 23:00:00,LZ_RAYBN,14.82,1,2016
2016-01-08 00:00:00,LZ_RAYBN,15.45,1,2016
2016-01-08 01:00:00,LZ_RAYBN,14.04,1,2016
2016-01-08 02:00:00,LZ_RAYBN,14.04,1,2016
2016-01-08 03:00:00,LZ_RAYBN,14.04,1,2016
2016-01-08 04:00:00,LZ_RAYBN,15.11,1,2016
2016-01-08 05:00:00,LZ_RAYBN,17.54,1,2016
2016-01-08 06:00:00,LZ_RAYBN,22.81,1,2016
2016-01-08 07:00:00,LZ_RAYBN,22.39,1,2016
2016-01-08 08:00:00,LZ_RAYBN,21.42,1,2016
2016-01-08 09:00:00,LZ_RAYBN,21.32,1,2016
2016-01-08 10:00:00,LZ_RAYBN,20.63,1,2016
2016-01-08 11:00:00,LZ_RAYBN,18.69,1,2016
2016-01-08 12:00:00,LZ_RAYBN,17.38,1,2016
2016-01-08 13:00:00,LZ_RAYBN,17.24,1,2016
2016-01-08 14:00:00,LZ_RAYBN,16.57,1,2016
2016-01-08 15:00:00,LZ_RAYBN,16.53,1,2016
2016-01-08 16:00:00,LZ_RAYBN,17.61,1,2016
2016-01-08 17:00:00,LZ_RAYBN,23.49,1,2016
2016-01-08 18:00:00,LZ_RAYBN,22.00,1,2016
2016-01-08 19:00:00,LZ_RAYBN,20.26,1,2016
2016-01-08 20:00:00,LZ_RAYBN,19.66,1,2016
2016-01-08 21:00:00,LZ_RAYBN,17.95,1,2016
2016-01-08 22:00:00,LZ_RAYBN,17.49,1,2016
2016-01-08 23:00:00,LZ_RAYBN,16.51,1,2016
2016-01-09 00:00:00,LZ_RAYBN,16.14,1,2016
2016-01-09 01:00:00,LZ_RAYBN,14.54,1,2016
2016-01-09 02:00:00,LZ_RAYBN,14.15,1,2016
2016-01-09 03:00:00,LZ_RAYBN,14.03,1,2016
2016-01-09 04:00:00,LZ_RAYBN,14.18,1,2016
2016-01-09 05:00:00,LZ_RAYBN,13.48,1,2016
2016-01-09 06:00:00,LZ_RAYBN,17.03,1,2016
2016-01-09 07:00:00,LZ_RAYBN,19.76,1,2016
2016-01-09 08:00:00,LZ_RAYBN,20.28,1,2016
2016-01-09 09:00:00,LZ_RAYBN,21.61,1,2016
2016-01-09 10:00:00,LZ_RAYBN,22.16,1,2016
2016-01-09 11:00:00,LZ_RAYBN,20.50,1,2016
2016-01-09 12:00:00,LZ_RAYBN,18.18,1,2016
2016-01-09 13:00:00,LZ_RAYBN,17.92,1,2016
2016-01-09 14:00:00,LZ_RAYBN,17.39,1,2016
2016-01-09 15:00:00,LZ_RAYBN,17.53,1,2016
2016-01-09 16:00:00,LZ_RAYBN,18.89,1,2016
2016-01-09 17:00:00,LZ_RAYBN,23.93,1,2016
2016-01-09 18:00:00,LZ_RAYBN,23.70,1,2016
2016-01-09 19:00:00,LZ_RAYBN,23.49,1,2016
2016-01-09 20:00:00,LZ_RAYBN,22.18,1,2016
2016-01-09 21:00:00,LZ_RAYBN,21.58,1,2016
2016-01-09 22:00:00,LZ_RAYBN,20.91,1,2016
2016-01-09 23:00:00,LZ_RAYBN,19.24,1,2016
2016-01-10 00:00:00,LZ_RAYBN,18.26,1,2016
2016-01-10 01:00:00,LZ_RAYBN,17.22,1,2016
2016-01-10 02:00:00,LZ_RAYBN,17.64,1,2016
2016-01-10 03:00:00,LZ_RAYBN,17.90,1,2016
2016-01-10 04:00:00,LZ_RAYBN,19.51,1,2016
2016-01-10 05:00:00,LZ_RAYBN,20.94,1,2016
2016-01-10 06:00:00,LZ_RAYBN,23.47,1,2016
2016-01-10 07:00:00,LZ_RAYBN,23.79,1,2016
2016-01-10 08:00:00,LZ_RAYBN,27.54,1,2016
2016-01-10 09:00:00,LZ_RAYBN,26.45,1,2016
2016-01-10 10:00:00,LZ_RAYBN,23.53,1,2016
2016-01-10 11:00:00,LZ_RAYBN,21.05,1,2016
2016-01-10 12:00:00,LZ_RAYBN,20.41,1,2016
2016-01-10 13:00:00,LZ_RAYBN,19.56,1,2016
2016-01-10 14:00:00,LZ_RAYBN,18.05,1,2016
2016-01-10 15:00:00,LZ_RAYBN,18.04,1,2016
2016-01-10 16:00:00,LZ_RAYBN,18.60,1,2016
2016-01-10 17:00:00,LZ_RAYBN,23.54,1,2016
2016-01-10 18:00:00,LZ_RAYBN,23.00,1,2016
2016-01-10 19:00:00,LZ_RAYBN,22.84,1,2016
2016-01-10 20:00:00,LZ_RAYBN,22.48,1,2016
2016-01-10 21:00:00,LZ_RAYBN,21.20,1,2016
2016-01-10 22:00:00,LZ_RAYBN,19.75,1,2016
2016-01-10 23:00:00,LZ_RAYBN,18.07,1,2016
2016-01-11 00:00:00,LZ_RAYBN,16.71,1,2016
2016-01-11 01:00:00,LZ_RAYBN,16.71,1,2016
2016-01-11 02:00:00,LZ_RAYBN,16.72,1,2016
2016-01-11 03:00:00,LZ_RAYBN,17.57,1,2016
2016-01-11 04:00:00,LZ_RAYBN,19.52,1,2016
2016-01-11 05:00:00,LZ_RAYBN,21.91,1,2016
2016-01-11 06:00:00,LZ_RAYBN,54.48,1,2016
2016-01-11 07:00:00,LZ_RAYBN,39.03,1,2016
2016-01-11 08:00:00,LZ_RAYBN,23.33,1,2016
2016-01-11 09:00:00,LZ_RAYBN,22.65,1,2016
2016-01-11 10:00:00,LZ_RAYBN,21.97,1,2016
2016-01-11 11:00:00,LZ_RAYBN,20.53,1,2016
2016-01-11 12:00:00,LZ_RAYBN,20.04,1,2016
2016-01-11 13:00:00,LZ_RAYBN,19.06,1,2016
2016-01-11 14:00:00,LZ_RAYBN,18.50,1,2016
2016-01-11 15:00:00,LZ_RAYBN,18.45,1,2016
2016-01-11 16:00:00,LZ_RAYBN,18.28,1,2016
2016-01-11 17:00:00,LZ_RAYBN,22.96,1,2016
2016-01-11 18:00:00,LZ_RAYBN,25.32,1,2016
2016-01-11 19:00:00,LZ_RAYBN,22.95,1,2016
2016-01-11 20:00:00,LZ_RAYBN,21.95,1,2016
2016-01-11 21:00:00,LZ_RAYBN,21.02,1,2016
2016-01-11 22:00:00,LZ_RAYBN,19.20,1,2016
2016-01-11 23:00:00,LZ_RAYBN,18.32,1,2016
2016-01-12 00:00:00,LZ_RAYBN,16.46,1,2016
2016-01-12 01:00:00,LZ_RAYBN,16.00,1,2016
2016-01-12 02:00:00,LZ_RAYBN,15.66,1,2016
2016-01-12 03:00:00,LZ_RAYBN,16.13,1,2016
2016-01-12 04:00:00,LZ_RAYBN,17.09,1,2016
2016-01-12 05:00:00,LZ_RAYBN,19.99,1,2016
2016-01-12 06:00:00,LZ_RAYBN,37.11,1,2016
2016-01-12 07:00:00,LZ_RAYBN,25.16,1,2016
2016-01-12 08:00:00,LZ_RAYBN,21.55,1,2016
2016-01-12 09:00:00,LZ_RAYBN,20.95,1,2016
2016-01-12 10:00:00,LZ_RAYBN,20.64,1,2016
2016-01-12 11:00:00,LZ_RAYBN,19.13,1,2016
2016-01-12 12:00:00,LZ_RAYBN,18.51,1,2016
2016-01-12 13:00:00,LZ_RAYBN,17.46,1,2016
2016-01-12 14:00:00,LZ_RAYBN,16.96,1,2016
2016-01-12 15:00:00,LZ_RAYBN,16.64,1,2016
2016-01-12 16:00:00,LZ_RAYBN,16.24,1,2016
2016-01-12 17:00:00,LZ_RAYBN,20.29,1,2016
2016-01-12 18:00:00,LZ_RAYBN,21.53,1,2016
2016-01-12 19:00:00,LZ_RAYBN,20.94,1,2016
2016-01-12 20:00:00,LZ_RAYBN,20.11,1,2016
2016-01-12 21:00:00,LZ_RAYBN,19.67,1,2016
2016-01-12 22:00:00,LZ_RAYBN,18.55,1,2016
2016-01-12 23:00:00,LZ_RAYBN,17.39,1,2016
2016-01-13 00:00:00,LZ_RAYBN,16.91,1,2016
2016-01-13 01:00:00,LZ_RAYBN,15.83,1,2016
2016-01-13 02:00:00,LZ_RAYBN,15.36,1,2016
2016-01-13 03:00:00,LZ_RAYBN,15.81,1,2016
2016-01-13 04:00:00,LZ_RAYBN,17.60,1,2016
2016-01-13 05:00:00,LZ_RAYBN,21.67,1,2016
2016-01-13 06:00:00,LZ_RAYBN,33.00,1,2016
2016-01-13 07:00:00,LZ_RAYBN,27.05,1,2016
2016-01-13 08:00:00,LZ_RAYBN,22.64,1,2016
2016-01-13 09:00:00,LZ_RAYBN,21.64,1,2016
2016-01-13 10:00:00,LZ_RAYBN,20.38,1,2016
2016-01-13 11:00:00,LZ_RAYBN,20.02,1,2016
2016-01-13 12:00:00,LZ_RAYBN,18.88,1,2016
2016-01-13 13:00:00,LZ_RAYBN,18.89,1,2016
2016-01-13 14:00:00,LZ_RAYBN,18.06,1,2016
2016-01-13 15:00:00,LZ_RAYBN,16.98,1,2016
2016-01-13 16:00:00,LZ_RAYBN,16.70,1,2016
2016-01-13 17:00:00,LZ_RAYBN,20.88,1,2016
2016-01-13 18:00:00,LZ_RAYBN,21.78,1,2016
2016-01-13 19:00:00,LZ_RAYBN,20.47,1,2016
2016-01-13 20:00:00,LZ_RAYBN,19.27,1,2016
2016-01-13 21:00:00,LZ_RAYBN,18.13,1,2016
2016-01-13 22:00:00,LZ_RAYBN,17.32,1,2016
2016-01-13 23:00:00,LZ_RAYBN,16.22,1,2016
2016-01-14 00:00:00,LZ_RAYBN,13.33,1,2016
2016-01-14 01:00:00,LZ_RAYBN,11.10,1,2016
2016-01-14 02:00:00,LZ_RAYBN,11.27,1,2016
2016-01-14 03:00:00,LZ_RAYBN,12.59,1,2016
2016-01-14 04:00:00,LZ_RAYBN,14.04,1,2016
2016-01-14 05:00:00,LZ_RAYBN,18.75,1,2016
2016-01-14 06:00:00,LZ_RAYBN,24.52,1,2016
2016-01-14 07:00:00,LZ_RAYBN,22.04,1,2016
2016-01-14 08:00:00,LZ_RAYBN,19.71,1,2016
2016-01-14 09:00:00,LZ_RAYBN,19.20,1,2016
2016-01-14 10:00:00,LZ_RAYBN,19.37,1,2016
2016-01-14 11:00:00,LZ_RAYBN,18.61,1,2016
2016-01-14 12:00:00,LZ_RAYBN,17.64,1,2016
2016-01-14 13:00:00,LZ_RAYBN,17.15,1,2016
2016-01-14 14:00:00,LZ_RAYBN,16.48,1,2016
2016-01-14 15:00:00,LZ_RAYBN,15.37,1,2016
2016-01-14 16:00:00,LZ_RAYBN,15.29,1,2016
2016-01-14 17:00:00,LZ_RAYBN,19.70,1,2016
2016-01-14 18:00:00,LZ_RAYBN,20.32,1,2016
2016-01-14 19:00:00,LZ_RAYBN,19.43,1,2016
2016-01-14 20:00:00,LZ_RAYBN,17.86,1,2016
2016-01-14 21:00:00,LZ_RAYBN,16.94,1,2016
2016-01-14 22:00:00,LZ_RAYBN,16.68,1,2016
2016-01-14 23:00:00,LZ_RAYBN,15.32,1,2016
2016-01-15 00:00:00,LZ_RAYBN,12.64,1,2016
2016-01-15 01:00:00,LZ_RAYBN,11.05,1,2016
2016-01-15 02:00:00,LZ_RAYBN,11.99,1,2016
2016-01-15 03:00:00,LZ_RAYBN,12.60,1,2016
2016-01-15 04:00:00,LZ_RAYBN,14.57,1,2016
2016-01-15 05:00:00,LZ_RAYBN,17.34,1,2016
2016-01-15 06:00:00,LZ_RAYBN,26.10,1,2016
2016-01-15 07:00:00,LZ_RAYBN,21.69,1,2016
2016-01-15 08:00:00,LZ_RAYBN,20.59,1,2016
2016-01-15 09:00:00,LZ_RAYBN,21.15,1,2016
2016-01-15 10:00:00,LZ_RAYBN,22.49,1,2016
2016-01-15 11:00:00,LZ_RAYBN,19.95,1,2016
2016-01-15 12:00:00,LZ_RAYBN,19.40,1,2016
2016-01-15 13:00:00,LZ_RAYBN,19.19,1,2016
2016-01-15 14:00:00,LZ_RAYBN,18.93,1,2016
2016-01-15 15:00:00,LZ_RAYBN,18.20,1,2016
2016-01-15 16:00:00,LZ_RAYBN,17.76,1,2016
2016-01-15 17:00:00,LZ_RAYBN,23.54,1,2016
2016-01-15 18:00:00,LZ_RAYBN,24.92,1,2016
2016-01-15 19:00:00,LZ_RAYBN,20.66,1,2016
2016-01-15 20:00:00,LZ_RAYBN,19.31,1,2016
2016-01-15 21:00:00,LZ_RAYBN,18.63,1,2016
2016-01-15 22:00:00,LZ_RAYBN,17.50,1,2016
2016-01-15 23:00:00,LZ_RAYBN,17.12,1,2016
2016-01-16 00:00:00,LZ_RAYBN,14.82,1,2016
2016-01-16 01:00:00,LZ_RAYBN,13.90,1,2016
2016-01-16 02:00:00,LZ_RAYBN,13.26,1,2016
2016-01-16 03:00:00,LZ_RAYBN,13.69,1,2016
2016-01-16 04:00:00,LZ_RAYBN,14.31,1,2016
2016-01-16 05:00:00,LZ_RAYBN,16.82,1,2016
2016-01-16 06:00:00,LZ_RAYBN,17.16,1,2016
2016-01-16 07:00:00,LZ_RAYBN,18.00,1,2016
2016-01-16 08:00:00,LZ_RAYBN,18.21,1,2016
2016-01-16 09:00:00,LZ_RAYBN,18.73,1,2016
2016-01-16 10:00:00,LZ_RAYBN,17.84,1,2016
2016-01-16 11:00:00,LZ_RAYBN,16.25,1,2016
2016-01-16 12:00:00,LZ_RAYBN,15.29,1,2016
2016-01-16 13:00:00,LZ_RAYBN,14.84,1,2016
2016-01-16 14:00:00,LZ_RAYBN,14.78,1,2016
2016-01-16 15:00:00,LZ_RAYBN,15.58,1,2016
2016-01-16 16:00:00,LZ_RAYBN,17.98,1,2016
2016-01-16 17:00:00,LZ_RAYBN,25.45,1,2016
2016-01-16 18:00:00,LZ_RAYBN,28.06,1,2016
2016-01-16 19:00:00,LZ_RAYBN,24.03,1,2016
2016-01-16 20:00:00,LZ_RAYBN,21.76,1,2016
2016-01-16 21:00:00,LZ_RAYBN,21.16,1,2016
2016-01-16 22:00:00,LZ_RAYBN,20.29,1,2016
2016-01-16 23:00:00,LZ_RAYBN,19.35,1,2016
2016-01-17 00:00:00,LZ_RAYBN,19.53,1,2016
2016-01-17 01:00:00,LZ_RAYBN,18.16,1,2016
2016-01-17 02:00:00,LZ_RAYBN,19.05,1,2016
2016-01-17 03:00:00,LZ_RAYBN,19.11,1,2016
2016-01-17 04:00:00,LZ_RAYBN,20.04,1,2016
2016-01-17 05:00:00,LZ_RAYBN,21.87,1,2016
2016-01-17 06:00:00,LZ_RAYBN,24.97,1,2016
2016-01-17 07:00:00,LZ_RAYBN,25.23,1,2016
2016-01-17 08:00:00,LZ_RAYBN,26.90,1,2016
2016-01-17 09:00:00,LZ_RAYBN,28.06,1,2016
2016-01-17 10:00:00,LZ_RAYBN,22.17,1,2016
2016-01-17 11:00:00,LZ_RAYBN,19.96,1,2016
2016-01-17 12:00:00,LZ_RAYBN,18.31,1,2016
2016-01-17 13:00:00,LZ_RAYBN,17.26,1,2016
2016-01-17 14:00:00,LZ_RAYBN,16.26,1,2016
2016-01-17 15:00:00,LZ_RAYBN,15.98,1,2016
2016-01-17 16:00:00,LZ_RAYBN,16.73,1,2016
2016-01-17 17:00:00,LZ_RAYBN,20.68,1,2016
2016-01-17 18:00:00,LZ_RAYBN,24.01,1,2016
2016-01-17 19:00:00,LZ_RAYBN,21.15,1,2016
2016-01-17 20:00:00,LZ_RAYBN,19.15,1,2016
2016-01-17 21:00:00,LZ_RAYBN,18.63,1,2016
2016-01-17 22:00:00,LZ_RAYBN,18.02,1,2016
2016-01-17 23:00:00,LZ_RAYBN,17.44,1,2016
2016-01-18 00:00:00,LZ_RAYBN,19.22,1,2016
2016-01-18 01:00:00,LZ_RAYBN,19.53,1,2016
2016-01-18 02:00:00,LZ_RAYBN,19.42,1,2016
2016-01-18 03:00:00,LZ_RAYBN,19.44,1,2016
2016-01-18 04:00:00,LZ_RAYBN,20.51,1,2016
2016-01-18 05:00:00,LZ_RAYBN,26.88,1,2016
2016-01-18 06:00:00,LZ_RAYBN,48.95,1,2016
2016-01-18 07:00:00,LZ_RAYBN,48.04,1,2016
2016-01-18 08:00:00,LZ_RAYBN,35.64,1,2016
2016-01-18 09:00:00,LZ_RAYBN,31.29,1,2016
2016-01-18 10:00:00,LZ_RAYBN,27.71,1,2016
2016-01-18 11:00:00,LZ_RAYBN,23.64,1,2016
2016-01-18 12:00:00,LZ_RAYBN,20.79,1,2016
2016-01-18 13:00:00,LZ_RAYBN,20.18,1,2016
2016-01-18 14:00:00,LZ_RAYBN,19.18,1,2016
2016-01-18 15:00:00,LZ_RAYBN,18.49,1,2016
2016-01-18 16:00:00,LZ_RAYBN,18.73,1,2016
2016-01-18 17:00:00,LZ_RAYBN,26.22,1,2016
2016-01-18 18:00:00,LZ_RAYBN,29.26,1,2016
2016-01-18 19:00:00,LZ_RAYBN,24.22,1,2016
2016-01-18 20:00:00,LZ_RAYBN,20.19,1,2016
2016-01-18 21:00:00,LZ_RAYBN,19.02,1,2016
2016-01-18 22:00:00,LZ_RAYBN,17.94,1,2016
2016-01-18 23:00:00,LZ_RAYBN,17.12,1,2016
2016-01-19 00:00:00,LZ_RAYBN,14.17,1,2016
2016-01-19 01:00:00,LZ_RAYBN,12.26,1,2016
2016-01-19 02:00:00,LZ_RAYBN,12.77,1,2016
2016-01-19 03:00:00,LZ_RAYBN,13.95,1,2016
